label,Te_eV,n_lower,n_upper,Upsilon_interp,K_CCC_stored,K_And2002,pct_err
1S->3P,4.714866363457394,1,3,0.2356469455859046,2.6888243824311477e-10,3.3430888414410847e-10,-19.570657258629932
1S->3P,4.941713361323834,1,3,0.24151349100345137,3.02992581549632e-10,3.7649673004413056e-10,-19.52318376998463
1S->3P,5.17947467923121,1,3,0.24769630864890999,3.397446990896222e-10,4.220127784572735e-10,-19.494215238788204
1S->3P,5.428675439323859,1,3,0.2540954823049132,3.791642815753392e-10,4.707058193087655e-10,-19.447717444380785
1S->3P,5.689866029018296,1,3,0.26065997704988636,4.212636211985037e-10,5.224402740588461e-10,-19.366166408707265
1S->3P,5.963623316594643,1,3,0.26739406391379805,4.660421503511079e-10,5.771449999088555e-10,-19.250422263953304
1S->3P,6.250551925273971,1,3,0.27430212426763295,5.134869247338056e-10,6.347285364513495e-10,-19.101333051036818
1S->3P,6.551285568595508,1,3,0.28138865267402585,5.635732253169409e-10,6.950806549118169e-10,-18.919736675963172
1S->3P,6.866488450043,1,3,0.2886582598115393,6.162652532329683e-10,7.580741106208853e-10,-18.706463576730158
1S->3P,7.196856730011519,1,3,0.29611567547449114,6.71516892275671e-10,8.235665482968929e-10,-18.462339969448173
1S->3P,7.543120063354617,1,3,0.3037657516502803,7.29272515106937e-10,8.914025111151927e-10,-18.18819152813719
1S->3P,7.906043210907698,1,3,0.31161346567621573,7.894678113413895e-10,9.614155072008159e-10,-17.88484734972251
1S->3P,8.286427728546842,1,3,0.31966392347790024,8.520306181935044e-10,1.0334300908288852e-09,-17.553144063173676
1S->3P,8.685113737513525,1,3,0.32792236289127835,9.168817371338201e-10,1.1072639199835538e-09,-17.193929957779297
1S->3P,9.102981779915218,1,3,0.3363941570705066,9.83935722831856e-10,1.1827297567600083e-09,-16.808069027766102
1S->3P,9.54095476349994,1,3,0.345084817983868,1.0531016334170025e-09,1.259637382169536e-09,-16.396444855963765
1S->3P,10.0,1,3,0.354,1.1242837336605247e-09,1.3377954020291684e-09,-15.959964284881611
1S->3D,1.0,1,3,0.06580000000000001,1.2729749881910319e-14,1.4739177230703794e-14,-13.633239612639658
1S->3D,1.0481131341546857,1,3,0.06628772131672217,2.1774557967317664e-14,2.5268776224410602e-14,-13.828205315765906
1S->3D,1.0985411419875581,1,3,0.06677905771069029,3.631600153648133e-14,4.223059852097917e-14,-14.00547752492689
1S->3D,1.1513953993264474,1,3,0.06727403597750066,5.912562298668431e-14,6.88827363740141e-14,-14.164816760982557
1S->3D,1.2067926406393286,1,3,0.06777268311136327,9.407383307116057e-14,1.0977878481747209e-13,-14.305998898078487
1S->3D,1.264855216855296,1,3,0.06827502630657402,1.4643380473868575e-13,1.711251391317637e-13,-14.428817716879106
1S->3D,1.3257113655901092,1,3,0.06878109295899777,2.2322141408059666e-13,2.611787505469853e-13,-14.533087545175395
1S->3D,1.3894954943731377,1,3,0.06929091066756236,3.3356044233147577e-13,3.906712962267138e-13,-14.61864601951599
1S->3D,1.4563484775012439,1,3,0.0698045072357639,4.890576582975379e-13,5.732399984677929e-13,-14.685356987520947
1S->3D,1.5264179671752334,1,3,0.07032191067318284,7.041682428202164e-13,8.258402202476056e-13,-14.733113554448728
1S->3D,1.599858719606058,1,3,0.07084314919701178,9.965287780959362e-13,1.1691111033205404e-12,-14.76184125994794
1S->3D,1.676832936811008,1,3,0.07136825123359399,1.3872331357989381e-12,1.6276634668132698e-12,-14.771501352491468
1S->3D,1.7575106248547918,1,3,0.07189724541997401,1.901026381508967e-12,2.230259368382083e-12,-14.762094110693248
1S->3D,1.842069969326716,1,3,0.07243016060545922,2.5663934391826085e-12,3.009855358750786e-12,-14.733662143560034
1S->3D,1.93069772888325,1,3,0.07296702585319312,3.4155227222695183e-12,4.003486503946874e-12,-14.686293586795063
1S->3D,2.023589647725157,1,3,0.07350787044174052,4.484130053923994e-12,5.2519754323891796e-12,-14.620125100544957
1S->3D,2.120950887920191,1,3,0.07405272386668407,5.811134627083371e-12,6.7994594930489565e-12,-14.535344566372421
