i,j,Te,ups_2000,ups_2002,pct
9,4,15.0,52.4,55.6,6.106870229007644
9,4,20.0,56.5,61.2,8.318584070796465
9,4,25.0,59.3,65.1,9.780775716694778
10,4,0.5,6.63,6.84,3.1674208144796268
10,4,1.0,10.6,10.6,0.0
10,4,3.0,19.7,19.6,-0.50761421319796
10,4,5.0,24.8,24.8,0.0
10,4,10.0,31.4,31.7,0.9554140127388644
10,4,15.0,34.7,35.3,1.7291066282420609
10,4,20.0,36.7,37.5,2.179836512261568
10,4,25.0,37.9,39.0,2.902374670184704
11,4,0.5,0.987,1.04,5.369807497467072
11,4,1.0,1.57,1.59,1.273885350318471
11,4,3.0,2.91,2.91,0.0
11,4,5.0,3.55,3.58,0.8450704225352101
11,4,10.0,4.31,4.53,5.104408352668233
11,4,15.0,4.66,5.1,9.4420600858369
11,4,20.0,4.87,5.5,12.936344969199176
11,4,25.0,5.0,5.8,15.999999999999993
12,4,0.5,2.5,2.61,4.400000000000004
12,4,1.0,3.43,3.46,0.8746355685131046
12,4,3.0,5.57,5.57,0.0
12,4,5.0,7.34,7.36,0.2724795640327127
12,4,10.0,11.1,11.2,0.9009009009008917
12,4,15.0,14.1,14.2,0.7092198581560183
12,4,20.0,16.6,16.7,0.6024096385542022
12,4,25.0,18.7,18.7,0.0
13,4,0.5,3.22,3.38,4.968944099378869
13,4,1.0,4.17,4.26,2.1582733812949506
13,4,3.0,6.12,6.14,0.32679738562091387
13,4,5.0,7.07,7.14,0.990099009900991
13,4,10.0,8.29,8.66,4.463208685162856
13,4,15.0,8.9,9.61,7.977528089887631
13,4,20.0,9.26,10.3,11.23110151187905
13,4,25.0,9.49,10.8,13.804004214963129
14,4,0.5,2.8,2.94,5.000000000000004
14,4,1.0,3.33,3.41,2.402402402402415
14,4,3.0,4.1,4.12,0.4878048780487809
14,4,5.0,4.45,4.45,0.0
14,4,10.0,4.81,4.73,-1.663201663201641
14,4,15.0,4.95,4.79,-3.232323232323231
14,4,20.0,5.02,4.78,-4.7808764940238895
14,4,25.0,5.07,4.76,-6.114398422090739
15,4,0.5,3.63,3.77,3.8567493112947604
15,4,1.0,4.77,4.82,1.048218029350112
15,4,3.0,6.72,6.71,-0.14880952380952328
15,4,5.0,7.87,7.83,-0.5082592121982255
15,4,10.0,9.38,9.16,-2.3454157782516027
15,4,15.0,10.1,9.67,-4.2574257425742505
15,4,20.0,10.5,9.89,-5.809523809523808
15,4,25.0,10.8,9.99,-7.500000000000007
7,5,0.5,3.9,4.07,4.358974358974366
7,5,1.0,4.83,4.88,1.0351966873705987
7,5,3.0,7.63,7.63,0.0
7,5,5.0,9.72,9.79,0.7201646090534863
7,5,10.0,13.6,14.1,3.6764705882353033
7,5,15.0,16.6,17.5,5.421686746987953
7,5,20.0,19.0,20.3,6.842105263157894
7,5,25.0,21.1,22.7,7.582938388625582
8,5,0.5,13.7,14.1,2.9197080291970767
8,5,1.0,20.8,20.7,-0.48076923076924016
8,5,3.0,45.1,44.9,-0.44345898004435336
8,5,5.0,61.6,61.9,0.48701298701299134
8,5,10.0,84.2,87.0,3.325415676959609
8,5,15.0,95.4,101.0,5.870020964360578
8,5,20.0,102.0,110.0,7.843137254901955
8,5,25.0,106.0,116.0,9.433962264150942
9,5,0.5,20.6,21.3,3.398058252427183
9,5,1.0,32.1,31.3,-2.492211838006231
9,5,3.0,83.3,82.4,-1.080432172869139
9,5,5.0,135.0,134.0,-0.7407407407407418
9,5,10.0,242.0,238.0,-1.6528925619834656
9,5,15.0,325.0,317.0,-2.4615384615384595
9,5,20.0,391.0,379.0,-3.069053708439895
9,5,25.0,446.0,430.0,-3.58744394618834
10,5,0.5,24.7,25.4,2.8340080971659853
10,5,1.0,41.3,40.9,-0.9685230024213065
10,5,3.0,88.3,87.9,-0.45300113250281715
10,5,5.0,119.0,119.0,0.0
10,5,10.0,162.0,167.0,3.0864197530864113
10,5,15.0,183.0,194.0,6.0109289617486406
10,5,20.0,196.0,212.0,8.163265306122458
10,5,25.0,205.0,224.0,9.268292682926838
11,5,0.5,2.14,2.25,5.1401869158878455
11,5,1.0,2.52,2.58,2.3809523809523725
11,5,3.0,2.99,3.01,0.6688963210702115
11,5,5.0,3.23,3.24,0.3095975232198178
11,5,10.0,3.72,3.77,1.3440860215053752
11,5,15.0,4.15,4.22,1.6867469879517927
11,5,20.0,4.52,4.62,2.212389380530988
11,5,25.0,4.84,4.96,2.4793388429751984
12,5,0.5,7.11,7.47,5.063291139240489
12,5,1.0,9.6,9.77,1.7708333333333437
12,5,3.0,13.9,14.0,0.7194244604316502
12,5,5.0,15.8,15.9,0.6329113924050667
12,5,10.0,18.2,18.8,3.296703296703307
12,5,15.0,19.3,20.6,6.735751295336789
12,5,20.0,20.0,21.8,9.000000000000007
12,5,25.0,20.5,22.7,10.731707317073159
13,5,0.5,11.0,11.5,4.545454545454541
13,5,1.0,15.2,15.3,0.657894736842124
13,5,3.0,26.7,26.7,0.0
13,5,5.0,35.5,35.6,0.28169014084507005
13,5,10.0,51.8,52.1,0.5791505791505891
13,5,15.0,63.6,64.1,0.7861635220125729
13,5,20.0,72.9,73.6,0.9602194787379892
13,5,25.0,80.7,81.3,0.743494423791824
14,5,0.5,9.95,10.4,4.522613065326642
14,5,1.0,12.3,12.5,1.6260162601625883
14,5,3.0,16.4,16.5,0.6097560975609762
14,5,5.0,18.2,18.3,0.5494505494505475
14,5,10.0,20.1,20.4,1.492537313432818
14,5,15.0,20.8,21.4,2.8846153846153744
14,5,20.0,21.2,22.0,3.7735849056603765
14,5,25.0,21.5,22.4,4.1860465116279055
15,5,0.5,14.2,14.7,3.5211267605633756
15,5,1.0,18.4,18.6,1.0869565217391353
15,5,3.0,24.7,24.7,0.0
15,5,5.0,28.7,28.6,-0.34843205574912606
15,5,10.0,34.3,33.6,-2.0408163265306034
15,5,15.0,37.1,35.7,-3.7735849056603765
15,5,20.0,38.8,36.7,-5.412371134020599
15,5,25.0,39.9,37.2,-6.766917293233076
7,6,0.5,3.97,4.21,6.045340050377823
7,6,1.0,4.13,4.27,3.3898305084745672
7,6,3.0,4.3,4.35,1.1627906976744207
7,6,5.0,4.54,4.56,0.4405286343612147
7,6,10.0,4.94,4.93,-0.2024291497975894
7,6,15.0,5.16,5.12,-0.7751937984496138
7,6,20.0,5.3,5.23,-1.3207547169811207
7,6,25.0,5.38,5.29,-1.6728624535315983
8,6,0.5,13.1,13.7,4.580152671755733
8,6,1.0,15.2,15.5,1.9736842105263275
8,6,3.0,19.6,19.7,0.5102040816326481
8,6,5.0,21.7,21.9,0.9216589861751112
8,6,10.0,24.3,25.2,3.703703703703698
8,6,15.0,25.7,27.4,6.6147859922178975
8,6,20.0,26.6,29.1,9.398496240601496
8,6,25.0,27.3,30.5,11.721611721611724
9,6,0.5,33.1,34.4,3.92749244712991
9,6,1.0,45.8,46.1,0.6550218340611424
9,6,3.0,83.1,83.0,-0.12033694344163459
9,6,5.0,107.0,107.0,0.0
9,6,10.0,140.0,141.0,0.7142857142857117
9,6,15.0,156.0,158.0,1.2820512820512775
9,6,20.0,165.0,169.0,2.4242424242424176
9,6,25.0,171.0,176.0,2.923976608187129
10,6,0.5,63.8,65.4,2.5078369905956244
10,6,1.0,115.0,112.0,-2.608695652173909
10,6,3.0,330.0,327.0,-0.9090909090909038
10,6,5.0,522.0,518.0,-0.7662835249042099
10,6,10.0,889.0,871.0,-2.0247469066366652
10,6,15.0,1150.0,1120.0,-2.608695652173909
10,6,20.0,1360.0,1310.0,-3.676470588235292
10,6,25.0,1530.0,1460.0,-4.575163398692805
11,6,0.5,2.64,2.78,5.303030303030298
11,6,1.0,2.83,2.92,3.180212014134276
11,6,3.0,2.5,2.53,1.200000000000001
11,6,5.0,2.25,2.27,0.8888888888888946
11,6,10.0,1.96,1.95,-0.5102040816326481
11,6,15.0,1.84,1.81,-1.6304347826086918
11,6,20.0,1.77,1.73,-2.259887005649719
11,6,25.0,1.73,1.68,-2.8901734104046284
12,6,0.5,7.81,8.21,5.121638924455851
12,6,1.0,8.63,8.88,2.8968713789107703
12,6,3.0,8.67,8.76,1.038062283737018
12,6,5.0,8.46,8.51,0.5910165484633412
12,6,10.0,8.31,8.32,0.12033694344162349
