label,Te_eV,Te_match,n_lower,n_upper,K_stored,K_Anderson2002,pct_err
2P->5S,3.0,interp,2,5,9.085970970967292e-10,1.4125738778482713e-09,-35.67790603060237
2P->5S,5.0,interp,2,5,1.0084298306006107e-09,1.4767846343665507e-09,-31.714495998046132
2P->5S,10.0,exact,2,5,9.614349285702457e-10,1.2785582057688583e-09,-24.803194392539307
2P->5P,1.0,exact,2,5,6.709331691706642e-10,1.0733883651738e-09,-37.49390333087609
2P->5P,3.0,interp,2,5,2.889998995466474e-09,4.074160447688699e-09,-29.065164895359207
2P->5P,5.0,interp,2,5,3.5999177258419696e-09,4.720316182906783e-09,-23.73566544381077
2P->5P,10.0,exact,2,5,4.114592689345479e-09,4.854079540512043e-09,-15.234337323787607
2P->5D,1.0,exact,2,5,1.1667618042269312e-09,1.9014308183078743e-09,-38.63769362562144
2P->5D,3.0,interp,2,5,7.098612471586441e-09,1.0230008715364323e-08,-30.609907878913887
2P->5D,5.0,interp,2,5,1.0739375054548693e-08,1.4396964357865688e-08,-25.405281366267285
2P->5D,10.0,exact,2,5,1.5788391474191935e-08,1.8718345940536636e-08,-15.65284921890221
2P->5F,1.0,exact,2,5,1.0391812355017487e-09,1.5487460697507687e-09,-32.90176770753786
2P->5F,3.0,interp,2,5,5.971334072752989e-09,8.624135254231551e-09,-30.760199176803592
2P->5F,5.0,interp,2,5,8.155288469030482e-09,1.16996408247761e-08,-30.294539882282645
2P->5F,10.0,exact,2,5,9.598723534867218e-09,1.322974619865047e-08,-27.445898124286337
2P->5G,1.0,exact,2,5,3.046899669153009e-10,6.96935731387846e-10,-56.28148289820709
2P->5G,3.0,interp,2,5,1.4253605900294917e-09,2.7210633646971966e-09,-47.617515691770464
2P->5G,5.0,interp,2,5,1.69737838068947e-09,2.9940291217294453e-09,-43.30788674129492
2P->5G,10.0,exact,2,5,1.5836784401436237e-09,2.5824972195926815e-09,-38.67647066069617
3S->4S,1.0,exact,3,4,8.310642581611968e-08,8.909678422565065e-08,-6.723428305065992
3S->4S,3.0,interp,3,4,1.6223811382911813e-07,2.0032760099700788e-07,-19.01359921364938
3S->4S,5.0,interp,3,4,1.79130877814624e-07,2.416640009594779e-07,-25.876060520631462
3S->4S,10.0,exact,3,4,1.8145447634265446e-07,2.6318016359943994e-07,-31.053133389327904
3S->4P,1.0,exact,3,4,1.292679032763366e-07,1.2299904086835765e-07,5.096675846999754
3S->4P,3.0,interp,3,4,3.986496259370139e-07,2.819425495513444e-07,41.393921056394504
