label,Te_eV,n_lower,n_upper,l_upper,dn,dipole,K_CCC,K_And2002,pct_err
2P->5S,20.0,2,5,0,3,True,8.551816408181504e-10,1.0377399426428449e-09,-17.591912416878507
2P->5S,25.0,2,5,0,3,True,8.22111953481917e-10,9.693760895115963e-10,-15.191641058928518
2P->5P,0.5,2,5,1,3,False,5.017014740526019e-11,8.219469076265724e-11,-38.96181500319783
2P->5P,1.0,2,5,1,3,False,6.709331691706644e-10,1.0733883651738e-09,-37.493903330876066
2P->5P,3.0,2,5,1,3,False,2.8905997530129622e-09,4.074160447688699e-09,-29.05041934092654
2P->5P,5.0,2,5,1,3,False,3.600205056648072e-09,4.720316182906783e-09,-23.729578334495027
2P->5P,10.0,2,5,1,3,False,4.1145926893454794e-09,4.854079540512043e-09,-15.234337323787594
2P->5P,15.0,2,5,1,3,False,4.191238761790845e-09,4.701281317070607e-09,-10.849011596642166
2P->5P,20.0,2,5,1,3,False,4.136211367304885e-09,4.502911471816832e-09,-8.143622338726352
2P->5P,25.0,2,5,1,3,False,4.033988079982394e-09,4.3109845749778615e-09,-6.425365022255736
2P->5D,0.5,2,5,2,3,True,7.732625656531143e-11,1.2889621960507611e-10,-40.008902664305744
2P->5D,1.0,2,5,2,3,True,1.1667618042269312e-09,1.9014308183078743e-09,-38.63769362562144
2P->5D,3.0,2,5,2,3,True,7.099996005163577e-09,1.0230008715364323e-08,-30.59638361304442
2P->5D,5.0,2,5,2,3,True,1.0740316285607956e-08,1.4396964357865688e-08,-25.39874366126319
2P->5D,10.0,2,5,2,3,True,1.5788391474191935e-08,1.8718345940536636e-08,-15.65284921890221
2P->5D,15.0,2,5,2,3,True,1.8562861879321358e-08,2.0172770742339332e-08,-7.980603574892364
2P->5D,20.0,2,5,2,3,True,2.031485863297981e-08,2.0728920051294728e-08,-1.9975059833811981
2P->5D,25.0,2,5,2,3,True,2.1488559203636848e-08,2.0888030233456267e-08,2.8749909085190595
2P->5F,0.5,2,5,3,3,False,6.67661809170061e-11,1.0647948576071504e-10,-37.29667227446446
2P->5F,1.0,2,5,3,3,False,1.0391812355017485e-09,1.5487460697507687e-09,-32.901767707537864
2P->5F,3.0,2,5,3,3,False,5.972808801294595e-09,8.624135254231551e-09,-30.74309916041781
2P->5F,5.0,2,5,3,3,False,8.156351667135322e-09,1.16996408247761e-08,-30.28545244002041
2P->5F,10.0,2,5,3,3,False,9.598723534867215e-09,1.322974619865047e-08,-27.445898124286362
2P->5F,15.0,2,5,3,3,False,9.56421542503015e-09,1.2707705863112065e-08,-24.736883839960754
2P->5F,20.0,2,5,3,3,False,9.223456045318684e-09,1.1904248718596223e-08,-22.519629223553927
2P->5F,25.0,2,5,3,3,False,8.825534876775834e-09,1.1146634149666514e-08,-20.82331977281342
2P->5G,0.5,2,5,4,3,False,2.1313628902572312e-11,5.255478712400205e-11,-59.44493343245174
2P->5G,1.0,2,5,4,3,False,3.0468996691530094e-10,6.96935731387846e-10,-56.28148289820709
2P->5G,3.0,2,5,4,3,False,1.4257557746420849e-09,2.7210633646971966e-09,-47.602992523448826
2P->5G,5.0,2,5,4,3,False,1.6976403482503865e-09,2.9940291217294453e-09,-43.29913707486666
2P->5G,10.0,2,5,4,3,False,1.5836784401436235e-09,2.5824972195926815e-09,-38.67647066069618
2P->5G,15.0,2,5,4,3,False,1.3529879522754908e-09,2.1397953146181973e-09,-36.77021614953373
2P->5G,20.0,2,5,4,3,False,1.1651839314744886e-09,1.8141039895078157e-09,-35.77083021626481
2P->5G,25.0,2,5,4,3,False,1.0207894013451698e-09,1.5743429856687107e-09,-35.16092677152025
3S->4S,0.5,3,4,0,1,False,3.605188979338551e-08,3.953317490651176e-08,-8.805984142075129
3S->4S,1.0,3,4,0,1,False,8.31064258161197e-08,8.909678422565065e-08,-6.7234283050659815
3S->4S,3.0,3,4,0,1,False,1.6225795383673576e-07,2.0032760099700788e-07,-19.003695432283806
