sparse_idx,i,j,label_i,label_j,source,g_i,g_j,E_pn_eV
243,8,10,4D,5S,CCC,10,2,0.3061305
244,8,11,4D,5P,CCC,10,6,0.3061305
245,8,12,4D,5D,CCC,10,10,0.3061305
246,8,13,4D,5F,CCC,10,14,0.3061305
247,8,14,4D,5G,CCC,10,18,0.3061305
248,8,15,4D,6S,CCC,10,2,0.47242361
249,8,16,4D,6P,CCC,10,6,0.47242361
250,8,17,4D,6D,CCC,10,10,0.47242361
251,8,18,4D,6F,CCC,10,14,0.47242361
252,8,19,4D,6G,CCC,10,18,0.47242361
253,8,20,4D,6H,CCC,10,22,0.47242361
254,8,21,4D,7S,CCC,10,2,0.57269311
255,8,22,4D,7P,CCC,10,6,0.57269311
256,8,23,4D,7D,CCC,10,10,0.57269311
257,8,24,4D,7F,CCC,10,14,0.57269311
258,8,25,4D,7G,CCC,10,18,0.57269311
259,8,26,4D,7H,CCC,10,22,0.57269311
260,8,27,4D,7I,CCC,10,26,0.57269311
261,8,28,4D,8S,CCC,10,2,0.63777187
262,8,29,4D,8P,CCC,10,6,0.63777187
263,8,30,4D,8D,CCC,10,10,0.63777187
264,8,31,4D,8F,CCC,10,14,0.63777187
265,8,32,4D,8G,CCC,10,18,0.63777187
266,8,33,4D,8H,CCC,10,22,0.63777187
267,8,34,4D,8I,CCC,10,26,0.63777187
268,8,35,4D,8J,CCC,10,30,0.63777187
269,9,10,4F,5S,CCC,14,2,0.3061305
270,9,11,4F,5P,CCC,14,6,0.3061305
271,9,12,4F,5D,CCC,14,10,0.3061305
272,9,13,4F,5F,CCC,14,14,0.3061305
273,9,14,4F,5G,CCC,14,18,0.3061305
274,9,15,4F,6S,CCC,14,2,0.47242361
275,9,16,4F,6P,CCC,14,6,0.47242361
276,9,17,4F,6D,CCC,14,10,0.47242361
277,9,18,4F,6F,CCC,14,14,0.47242361
278,9,19,4F,6G,CCC,14,18,0.47242361
279,9,20,4F,6H,CCC,14,22,0.47242361
280,9,21,4F,7S,CCC,14,2,0.57269311
281,9,22,4F,7P,CCC,14,6,0.57269311
282,9,23,4F,7D,CCC,14,10,0.57269311
283,9,24,4F,7F,CCC,14,14,0.57269311
284,9,25,4F,7G,CCC,14,18,0.57269311
285,9,26,4F,7H,CCC,14,22,0.57269311
286,9,27,4F,7I,CCC,14,26,0.57269311
287,9,28,4F,8S,CCC,14,2,0.63777187
288,9,29,4F,8P,CCC,14,6,0.63777187
289,9,30,4F,8D,CCC,14,10,0.63777187
290,9,31,4F,8F,CCC,14,14,0.63777187
291,9,32,4F,8G,CCC,14,18,0.63777187
292,9,33,4F,8H,CCC,14,22,0.63777187
293,9,34,4F,8I,CCC,14,26,0.63777187
294,9,35,4F,8J,CCC,14,30,0.63777187
295,10,15,5S,6S,CCC,2,2,0.16629311
296,10,16,5S,6P,CCC,2,6,0.16629311
297,10,17,5S,6D,CCC,2,10,0.16629311
298,10,18,5S,6F,CCC,2,14,0.16629311
299,10,19,5S,6G,CCC,2,18,0.16629311
300,10,20,5S,6H,CCC,2,22,0.16629311
301,10,21,5S,7S,CCC,2,2,0.26656261
