ni,li,nf,lf,threshold_eV,n_points,sigma_max_cm2,filename
9,7,8,4,13.500000,47,4.889294e-13,9J.8G
10,6,9,4,13.500000,47,3.662770e-12,:I.9G
9,6,5,2,13.500000,47,2.420565e-15,9I.5D
10,7,4,2,13.500000,47,3.704774e-16,:J.4D
4,3,6,4,13.228975,58,8.552064e-13,4F.6G
2,1,7,2,13.328199,55,3.578762e-13,2P.7D
1,0,6,2,13.228975,58,5.970203e-16,1S.6D
7,3,9,8,13.500000,47,6.227829e-14,7F.9K
8,3,7,4,13.393320,50,4.645669e-14,8F.7G
2,0,9,5,13.500000,47,1.670649e-17,2S.9H
7,3,5,4,13.328199,55,6.502257e-15,7F.5G
9,7,7,2,13.500000,47,3.407944e-14,9J.7D
10,6,6,2,13.500000,47,5.116117e-15,:I.6D
4,3,9,2,13.500000,47,7.291937e-15,4F.9D
5,3,3,2,13.061780,63,1.606522e-15,5F.3D
2,0,5,2,13.061780,63,1.105272e-13,2S.5D
2,1,8,4,13.393320,50,3.895194e-14,2P.8G
1,0,9,4,13.500000,47,1.138315e-18,1S.9G
10,7,8,5,13.500000,47,5.443750e-14,:J.8H
9,6,9,5,13.500000,47,2.688832e-09,9I.9H
7,3,6,5,13.328199,55,2.569260e-14,7F.6H
8,3,8,2,13.393320,50,1.725254e-06,8F.8D
8,3,7,6,13.393320,50,2.747638e-14,8F.7I
2,0,9,3,13.500000,47,3.284732e-17,2S.9F
7,6,4,1,13.328199,55,1.768659e-15,7I.4P
10,3,7,0,13.500000,47,9.238134e-15,:F.7S
4,3,5,3,13.061780,63,5.849791e-12,4F.5F
2,1,1,0,10.204389,96,6.387445e-17,2P.1S
8,3,4,3,13.393320,50,8.482057e-16,8F.4F
3,0,6,1,13.228975,58,5.538960e-14,3S.6P
9,6,3,0,13.500000,47,6.171824e-17,9I.3S
10,7,2,0,13.500000,47,2.369599e-18,:J.2S
8,6,9,0,13.500000,47,1.578800e-13,8I.9S
9,7,8,6,13.500000,47,5.454951e-12,9J.8I
6,3,6,0,13.228975,58,3.945599e-11,6F.6S
10,6,9,6,13.500000,47,4.799685e-13,:I.9I
8,7,4,1,13.393320,50,9.319342e-16,8J.4P
9,3,4,0,13.500000,47,5.471753e-16,9F.4S
8,3,8,7,13.393320,50,4.550460e-10,8F.8J
10,3,8,1,13.500000,47,1.335175e-13,:F.8P
7,3,6,3,13.328199,55,3.959600e-14,7F.6F
10,7,8,3,13.500000,47,8.739683e-14,:J.8F
9,6,9,3,13.500000,47,1.045906e-12,9I.9F
3,1,4,1,12.755506,70,1.658048e-11,3P.4P
2,1,8,6,13.393320,50,2.400403e-14,2P.8I
1,0,9,6,13.500000,47,5.435349e-19,1S.9I
3,2,4,0,12.755506,70,1.927155e-11,3D.4S
3,0,9,0,13.500000,47,5.908597e-16,3S.9S
2,0,3,0,12.094089,78,9.924203e-12,2S.3S
8,6,6,1,13.393320,50,1.693891e-14,8I.6P
4,3,9,7,13.500000,47,3.055109e-15,4F.9J
5,3,5,0,13.061780,63,8.067615e-10,5F.5S
7,3,3,1,13.328199,55,3.147518e-16,7F.3P
9,7,1,0,13.500000,47,4.572862e-20,9J.1S
6,3,9,1,13.500000,47,2.836687e-14,6F.9P
6,3,3,1,13.228975,58,6.233430e-16,6F.3P
7,3,9,1,13.500000,47,5.216927e-14,7F.9P
8,7,1,0,13.393320,50,6.860693e-20,8J.1S
10,7,7,1,13.500000,47,1.968039e-14,:J.7P
5,3,9,7,13.500000,47,8.846094e-15,5F.9J
9,6,6,1,13.500000,47,9.884999e-15,9I.6P
4,3,5,0,13.061780,63,4.172422e-12,4F.5S
2,0,9,0,13.500000,47,1.294291e-16,2S.9S
3,0,3,0,12.094089,78,4.763281e-09,3S.3S
10,3,7,3,13.500000,47,8.952505e-15,:F.7F
1,0,5,1,13.061780,63,6.222229e-15,1S.5P
3,2,8,7,13.393320,50,4.833288e-13,3D.8J
2,1,4,1,12.755506,70,4.488854e-12,2P.4P
3,1,8,6,13.393320,50,2.426725e-13,3P.8I
8,6,9,3,13.500000,47,1.511873e-13,8I.9F
6,3,6,3,13.228975,58,7.583166e-10,6F.6F
7,6,1,0,13.328199,55,8.938503e-20,7I.1S
10,3,2,1,13.500000,47,7.636372e-18,:F.2P
8,3,4,0,13.393320,50,7.401148e-16,8F.4S
9,3,8,7,13.500000,47,3.920396e-14,9F.8J
